store_id,hub_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"3","2",CUMIURI,FOOD,0,,,,,,
"6","3",PIMGUCIS DA VIVA ,FOOD,0,-30.0374149,-51.20352,"4314902",Porto Alegre,RS,495.390
"8","3",RASMUR S ,FOOD,0,-30.0374149,-51.20352,"4314902",Porto Alegre,RS,495.390
"53","8",PAPA SUCIS ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"54","8",VUZPI PAZZIS ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"56","8",SUPSIO ,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"58","8",PIAMUARIS ,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"82","8",LUCITA ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"83","8",PRARIZZAI ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"84","8",PALLO MZU GRALA,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"85","8",PRISMAURAI ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"88","8",EUGUSMI ,GOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"89","8",LIS URPIMIOUS ,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"90","8",CISI DA POI EU QUASI ,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"95","8",ARE TRAMUO ,FOOD,49,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"96","5",PIRMI DA SIPIR ,FOOD,0,-23.0007498,-43.318364,"3304557",Rio de Janeiro,RJ,1200.329
"99","8",SIRVUMU AMILAI ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"100","8",LUPIMUIM ,FOOD,49.9,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"122","4",MASUCIE,GOOD,0,,,,,,
"141","8",RO PRISMAUS ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"144","8",CIRIROI U CAI ,FOOD,49.9,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"149","8",IUMPICA ,FOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"164","8",CLUPU RULASSI ,GOOD,0,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"187","13",LUCITA ,FOOD,49,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"189","13",USPUMUI CIRAICI ,FOOD,49,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"191","13",AR PAZZI ,FOOD,49,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"228","8",PUGUM ,GOOD,0,-22.9241443,-43.2363449,"3304557",Rio de Janeiro,RJ,1200.329
"232","16",RIARI SIARI ,FOOD,0,-23.0174723,-43.4799389,"3304557",Rio de Janeiro,RJ,1200.329
"236","13",IUMPICA ,FOOD,0,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"245","18",SUPSIO ,FOOD,0,-22.9454948,-43.1821807,"3304557",Rio de Janeiro,RJ,1200.329
"261","18",AR TRAMUO ,FOOD,49,-22.9454948,-43.1821807,"3304557",Rio de Janeiro,RJ,1200.329
"264","8",EMUOUS,GOOD,0,-22.9241443,-43.2363449,"3304557",Rio de Janeiro,RJ,1200.329
"274","16",IUMPICA ,FOOD,0,-23.0174723,-43.4799389,"3304557",Rio de Janeiro,RJ,1200.329
"294","13",PAPA SUCIS ,FOOD,0,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"295","8",AIEMAMIMU IU PRUSEM,GOOD,29.9,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"311","13",RISA PUM ,GOOD,29,-22.8858199,-43.2792183,"3304557",Rio de Janeiro,RJ,1200.329
"321","17",IUMPICA ,FOOD,0,-23.5920041,-46.6365035,"3550308",São Paulo,SP,1521.110
"339","17",ARE TRAMUO ,FOOD,49.9,-23.5920041,-46.6365035,"3550308",São Paulo,SP,1521.110
"342","13",PIARIS,GOOD,0,,,,,,
"345","13",ZIM ME MUMEUR ,FOOD,49,-22.8860986,-43.2795475,"3304557",Rio de Janeiro,RJ,1200.329
"356","21",SPILUMI ,FOOD,49.9,-23.550407,-46.6973162,"3550308",São Paulo,SP,1521.110
"357","22",PILIOU RAS ,FOOD,0,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"361","22",IPUPIEMAI ,FOOD,0,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"365","20",CIRILAMI SILUS ,FOOD,49.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"366","20",AR TRAMUO ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"367","20",MIUMSAU ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"370","20",PAZZI ZUM ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"371","20",LUCITA ,FOOD,0,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"373","20",CRUPULICOS ,FOOD,49,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"377","20",RIRURPIS,GOOD,0,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"378","21",OURAMIES ,FOOD,49.9,-23.550407,-46.6973162,"3550308",São Paulo,SP,1521.110
"383","21",ACA PRISSURAU ,FOOD,49.9,-23.550407,-46.6973162,"3550308",São Paulo,SP,1521.110
"387","22",REMFRUMIS ,FOOD,49,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"390","17",PAZZI ZUM ,FOOD,49.9,-23.5920041,-46.6365035,"3550308",São Paulo,SP,1521.110
"391","20",FAIARUMUI ,FOOD,0,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"399","13",PIARO ,FOOD,0,-22.8843321,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"406","20",GARIOLIS ,FOOD,49,-23.0007532,-43.3837713,"3304557",Rio de Janeiro,RJ,1200.329
"409","16",RC OUMILEES ,FOOD,0,-23.0172627,-43.4791238,"3304557",Rio de Janeiro,RJ,1200.329
"414","13",SPILUMI ,FOOD,0,-22.886644,-43.2801892,"3304557",Rio de Janeiro,RJ,1200.329
"415","8",IPUPIEMAI ,FOOD,,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"416","21",IUMPICA ,FOOD,0,-23.550407,-46.721291,"3550308",São Paulo,SP,1521.110
"417","20",IUMPICA ,FOOD,0,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"426","20",ZIM M MUMEUR ,FOOD,,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
